Character,Fandom,Genre,Media
Castiel,Supernatural,Fantasy,TV Series
Dean Winchester,Supernatural,Fantasy,TV Series
Draco Malfoy,Harry Potter - J.K. Rowling,Fantasy,Book Series
Harry Potter,Harry Potter - J.K. Rowling,Fantasy,Book Series
Sherlock Holmes,Sherlock,Crime,TV Series
John Watson,Sherlock,Crime,TV Series
Derek Hale,Teen Wolf,Fantasy,TV Series
Stiles Stilinski,Teen Wolf,Fantasy,TV Series
Aziraphale,Good Omens,Fantasy,TV Series
Crowley,Good Omens,Fantasy,TV Series
James 'Bucky' Barnes,Marvel Cinematic Universe,Superhero,Movies
Steve Rogers,Marvel Cinematic Universe,Superhero,Movies
Sirius Black,Harry Potter - J.K. Rowling,Fantasy,Book Series
Remus Lupin,Harry Potter - J.K. Rowling,Fantasy,Book Series
Bakugou Katsuki,Boku No Hero Academia,Superhero,Anime/Manga
Midoriya Izuku,Boku No Hero Academia,Superhero,Anime/Manga
Tony Stark,Marvel Cinematic Universe,Superhero,Movies
Harry Styles,One Direction,Western Artist,Band
Louis Tomlinson,One Direction,Western Artist,Band
Lán Zhàn,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,Anime/Novel
Wèi Yīng,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,Anime/Novel
Jungkook,BTS,Kpop,Band
V,BTS,Kpop,Band
Adrien Agreste,Miraculous Ladybug,Superhero,Animated TV Series
Marinette Dupain-Cheng,Miraculous Ladybug,Superhero,Animated TV Series
Merlin,Merlin,Fantasy,TV Series
Arthur Pendragon,Merlin,Fantasy,TV Series
Keith,Voltron: Legendary Defender,Fantasy,Animated TV Series
Lance,Voltron: Legendary Defender,Fantasy,Animated TV Series
Dazai Osamu,Bungou Stray Dogs,Fantasy,Anime/Manga
Nakahara Chuuya,Bungou Stray Dogs,Fantasy,Anime/Manga
Sam Winchester,Supernatural,Fantasy,TV Series
Kirishima Eijirou,Boku No Hero Academia,Superhero,Anime/Manga
Magnus Bane,Mortal Instruments Series - Cassandra Clare,Fantasy,Book Series
Alec Lightwood,Mortal Instruments Series - Cassandra Clare,Fantasy,Book Series
