year,ship,fandom,genre,collapsedFandom,totalWorks,relType,isCanon,isRPF,quotes
2024,Castiel/Dean Winchester,Supernatural,Fantasy,,105320,M/M,Semi-Canon,No,"Knowing you has changed me. Because you cared, I cared. I cared about you... I cared about the whole world because of you."
2024,Draco Malfoy/Harry Potter,Harry Potter - J. K. Rowling,Fantasy,,64661,M/M,No,No,"You’re getting a bit obsessed with Malfoy, Harry. I mean, thinking about missing a match just to follow him..."
2024,Sherlock Holmes/John Watson,Sherlock (TV),Crime,,63802,M/M,No,No,"You. It's always you. John Watson. You keep me right."
2024,Derek Hale/Stiles Stilinski,Teen Wolf,Fantasy,,63573,M/M,No,No,"You don’t trust me. I don’t trust you. But you need me to survive, which is why you are not letting me go."
2024,Aziraphale/Crowley,Good Omens,Fantasy,,59570,Other,Semi-Canon,No,"Come with me… to heaven. I’ll run it, you can be my second in command, we can make a difference!"
2024,"James ""Bucky"" Barnes/Steve Rogers",Marvel Cinematic Universe,Superhero,Marvel,58508,M/M,No,No,"Even when I had nothing I had Bucky."
2024,Sirius Black/Remus Lupin,Harry Potter - J. K. Rowling,Fantasy,,50280,M/M,No,No,"Oh, listen to you two, quarreling like an old married couple. - Snape."
2024,Bakugou Katsuki/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,,42852,M/M,No,No,"He may be a jerk, but he's amazing... His goals, his confidence... his strength... his quirk. He's stronger than me in every way. But... that's why I don't wanna lose to him."
2024,Steve Rogers/Tony Stark,Marvel Cinematic Universe,Superhero,Marvel,42143,M/M,No,No,"We are surrounded by chaos—I mean, an all-encompassing disaster of biblical proportions...and all I can think of is him."
2024,Harry Styles/Louis Tomlinson,One Direction (Band),Western Artist,,40106,M/M,No,Yes,"I always hear Harry scream in the shower, cause shampoo goes in his eyes and Louis always goes and helps him. - Zayn."
2024,Lán Zhàn/Wèi Yīng,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,,37617,M/M,Yes,No,"But…Wei WuXian looked slightly to the side. He saw Lan WangJi, who stood beside him, without any hint of hesitation, any thought of withdrawing. But, this time, he wasn’t alone anymore."
2024,Jungkook/V,Bangtan Boys | BTS,Kpop,,37334,M/M,No,Yes,"Everyday with Taehyung is unforgettable and special."
2024,Adrien Agreste/Marinette Dupain-Cheng,Miraculous Ladybug,Superhero,Miraculous Ladybug,35090,F/M,Yes,No,"My favorite moments are the ones I spend with you, M'lady. I would sacrifice everything for just that."
2024,Merlin/Arthur Pendragon,Merlin (TV),Fantasy,,33355,M/M,No,No,"Some men are born to plow fields, some live to be great physicians, others to be great kings. Me? I was born to serve you, Arthur, and I'm proud of that, and I wouldn't change a thing."
2024,Keith/Lance,Voltron: Legendary Defender,Fantasy,Voltron,32753,M/M,No,No,"Oh, come on! I thought we bonded. Keith? Buddy? My man?"
2024,Dazai Osamu/Nakahara Chuuya,Bungou Stray Dogs,Fantasy,,32716,M/M,No,No,"Hee-hee. Look at us getting along so well. That’s what makes me love you!"
2024,Dean Winchester/Sam Winchester,Supernatural,Fantasy,,31002,M/M,No,No, "I’m proud of us."
2024,Bakugou Katsuki/Kirishima Eijirou,Boku NoHero Academia | My Hero Academia,Superhero,,30256,M/M,No,No, "Interesting! A challenge to see which of our hearts will submit first!”
2024,Magnus Bane/Alec Lightwood,Mortal Instruments Series - Cassandra Clare,Fantasy,The Shadowhunter Chronicles,29452,M/M,Yes,No,"I’m tired of watching you be in love with someone else—someone, incidentally, who will never love you back. Not the way I do."
2024,Peter Parker & Tony Stark,Marvel Cinematic Universe,Superhero,Marvel,28981,Gen,Yes,No,"Mr. Stark, I don't feel so good."
