ship,fandom,genre,relType,isCanon,isRPF,totalWorks
707 | Choi Luciel/Main Character,Mystic Messenger,Video Game,F/M,Yes,No,1872
707 | Choi Luciel/Reader,Mystic Messenger,Video Game,XReader,No,XReader,1022
Aang & Zuko,Avatar: The Last Airbender,Science Fiction,Gen,Yes,No,1204
Aang/Katara,Avatar: The Last Airbender,Science Fiction,F/M,Yes,No,4533
Aaron Burr/Alexander Hamilton,Hamilton – Miranda,Historical,M/M,No,No,1480
Aaron Dingle/Robert Sugden,Emmerdale,Slice of Life,M/M,Yes,No,6194
Aaron Hotchner/Emily Prentiss,Criminal Minds,Crime,F/M,No,No,2328
Aaron Hotchner/Reader,Criminal Minds,Crime,XReader,No,XReader,1408
Aaron Hotchner/Spencer Reid,Criminal Minds,Crime,M/M,No,No,3556
Aaron Livesy/Robert Sugden,Emmerdale,Slice of Life,M/M,Yes,No,3587
Abarai Renji/Kuchiki Byakuya,Bleach,Fantasy,M/M,No,No,1183
Abby Griffin/Marcus Kane,The 101,Science Fiction,F/M,Yes,No,1982
Abe Ryouhei/Sakuma Daisuke,Japanese RFP,Celebrity RPF,M/M,No,Yes,1235
Ace/Nancy Drew,Nancy Drew,Crime,F/M,Yes,No,1088
Achilles/Patroclus,Greek Myth,Fantasy,M/M,Yes,No,3214
Adachi Kiyoshi/Kurosawa Yuichi,Cherry Magic,Romance,M/M,No,No,1184
Adam Faulkner-Stanheight/Lawrence Gordon,Saw,Thriller,M/M,No,No,1429
Adam Lambert/Kris Allen,American Idol RPF,Western Artist,M/M,No,Yes,3264
Adam Lambert/Tommy Ratliff,Adam Lambert (Musician),Western Artist,M/M,Semi-Canon,Yes,4144
Adam/Shiro,Voltron: Legendary Defender,Fantasy,M/M,Yes,No,3694
Adora & Catra,She-Ra and the Princesses of Power (2018),Fantasy,Gen,Yes,No,2980
Adora/Catra,She-Ra and the Princesses of Power (2018),Fantasy,F/F,Yes,No,11360
Adora/Glimmer,She-Ra and the Princesses of Power (2018),Fantasy,F/F,No,No,1140
Adrien Agreste | Chat Noir & Marinette Dupain-Cheng | Ladybug,Miraculous Ladybug,Superhero,Gen,Yes,No,41251
Adrien Agreste | Chat Noir & NiNo Lahiffe,Miraculous Ladybug,Superhero,Gen,Yes,No,1245
Adrien Agreste | Chat Noir & Plagg,Miraculous Ladybug,Superhero,Gen,Yes,No,1213
Adrien Agreste | Chat Noir/Kagami Tsurugi,Miraculous Ladybug,Superhero,F/M,Yes,No,1158
Adrien Agreste | Chat Noir/Luka Couffaine,Miraculous Ladybug,Superhero,M/M,No,No,1175
Adrien Agreste | Chat Noir/Marinette Dupain-Cheng | Ladybug,Miraculous Ladybug,Superhero,F/M,Yes,No,"35,090"
Aelin Ashryver Galathynius | Celaena Sardothien/Rowan Whitethorn,Throne of Glass,Fantasy,F/M,Yes,No,1159
"Aemond ""One-Eye"" Targaryen/Lucerys Velaryon",Game of Thrones,Fantasy,M/M,No,No,4264
"Aemond ""One-Eye"" Targaryen/Original Character(s)",Game of Thrones,Fantasy,Original,No,No,2003
"Aemond ""One-Eye"" Targaryen/Original Female Character(s)",Game of Thrones,Fantasy,F/M,No,No,1811
Aerith Gainsborough/Cloud Strife,Final Fantasy VII,Video Game,F/M,Semi-Canon,No,1247
Aesop Carl | Embalmer/Joseph Desaulnier | Photographer,Identity V,Video Game,M/M,No,No,1331
Agatsuma Zenitsu/Kamado Tanjirou,Demon Slayer: Kimetsu NoYaiba,Fantasy,M/M,No,No,1626
Agent 3/Agent 8,Splatoon,Video Game,Other,No,No,1104
Agron/Nasir,Spartacus Series (TV),Historical,M/M,Yes,No,1734
Agustín Madrigal/Julieta Madrigal,Encanto,Fantasy,F/M,Yes,No,2668
Aiden/Lambert,The Witcher (TV),Fantasy,M/M,No,No,1641
Aizawa Shouta | Eraserhead & Bakugou Katsuki,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1905
Aizawa Shouta | Eraserhead & Class 1-A,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,2514
Aizawa Shouta | Eraserhead & Eri,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1503
Aizawa Shouta | Eraserhead & Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,12965
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,4224
Aizawa Shouta | Eraserhead & Todoroki Shouto,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1069
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,2625
Aizawa Shouta | Eraserhead/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1345
Aizawa Shouta | Eraserhead/Original Character(s),Boku NoHero Academia | My Hero Academia,Superhero,Original,No,No,1225
Aizawa Shouta | Eraserhead/Original Female Character(s),Boku NoHero Academia | My Hero Academia,Superhero,F/M,No,No,1037
Aizawa Shouta | Eraserhead/Reader,Boku NoHero Academia | My Hero Academia,Superhero,XReader,No,XReader,2761
Aizawa Shouta | Eraserhead/Yagi Toshinori | All Might,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,2891
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,22545
Akaashi Keiji & Bokuto Koutarou,Haikyuu!!,Sports,Gen,Yes,No,1731
Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,Sports,M/M,No,No,16933
Akaashi Keiji/Kuroo Tetsurou,Haikyuu!!,Sports,M/M,No,No,1344
Akaashi Keiji/Miya Osamu,Haikyuu!!,Sports,M/M,No,No,1076
Akabane Karma/Shiota Nagisa,Assassination Classroom,Science Fiction,M/M,No,No,1293
Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei,Detective Conan,Crime,M/M,No,No,1510
Akamatsu Kaede/Saihara Shuichi,Danganronpa V3: Killing Harmony,Video Game,F/M,Yes,No,1657
Akashi Seijuurou/Furihata Kouki,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,1426
Akashi Seijuurou/Kuroko Tetsuya,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,2243
Akaza | Hakuji/Rengoku Kyoujurou,Demon Slayer: Kimetsu NoYaiba,Fantasy,M/M,No,No,1451
Akechi Goro & Persona 5 Protagonist,Persona,Video Game,Gen,Yes,No,1285
Akechi Goro/Amamiya Ren,Persona,Video Game,M/M,No,No,5263
Akechi Goro/Kurusu Akira,Persona,Video Game,M/M,No,No,8464
Akechi Goro/Persona 5 Protagonist,Persona,Video Game,M/M,No,No,10196
Akemi Homura/Kaname Madoka,Puella Magi Madoka Magica,Fantasy,F/F,No,No,1298
Akiyama Mizuki/Shinonome Ena,Project SEKAI,Video Game,Other,No,No,2083
Akutagawa Ryuunosuke & Dazai Osamu,Bungou Stray Dogs,Fantasy,Gen,Yes,No,1003
Akutagawa Ryuunosuke & Nakajima Atsushi,Bungou Stray Dogs,Fantasy,Gen,Yes,No,1567
Akutagawa Ryuunosuke/Dazai Osamu,Bungou Stray Dogs,Fantasy,M/M,No,No,1014
